GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Cassandara Coverage Report,org.apache.cassandra.gms,IGossiper,11,0,2,0,2,0,2,0,1,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.gms,Gossiper.new IEndpointStateChangeSubscriber() {...},25,6,4,0,10,1,6,1,4,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.gms,VersionedValue.VersionedValueFactory,357,6,0,0,49,3,34,1,34,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.gms,IEndpointStateChangeSubscriber,7,0,0,0,7,0,7,0,7,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.gms,Gossiper,4329,233,560,3,1030,50,414,5,132,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.gms,ApplicationState,0,314,0,0,0,32,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.gms,FailureDetector,802,80,70,2,142,22,63,5,27,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiFormatFactory,0,10,0,0,0,3,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReader.Builder,26,0,0,0,9,0,6,0,6,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableSpecificMetricsProviders,0,15,0,0,0,4,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableWriter.Builder,158,0,8,0,37,0,12,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiVersion,69,16,9,1,19,4,24,1,19,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat,103,28,4,0,29,8,18,4,16,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReaderLoadingBuilder,457,0,46,0,76,0,32,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableReaderFactory,25,3,0,0,5,1,4,1,4,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.Components.Types,3,13,0,0,1,2,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.Components,3,56,0,0,1,8,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableWriterFactory,20,3,0,0,4,1,2,1,2,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.utils.vint,VIntCoding.new FastThreadLocal() {...},3,3,0,0,1,1,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.utils.vint,VIntCoding,528,162,46,10,117,40,55,17,31,13
JaCoCo Cassandara Coverage Report,org.apache.cassandra.utils.vint,VIntCoding.VIntOutOfRangeException,8,0,0,0,3,0,1,0,1,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db.rows,DeserializationHelper,133,89,42,14,18,16,33,7,7,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db.rows,Unfiltered,0,16,0,4,0,2,0,4,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db.rows,UnfilteredRowIterator,2,13,2,4,0,3,2,2,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db.rows,CellPath,119,0,16,0,25,0,15,0,7,0
