GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiFormatFactory,0,10,0,0,0,3,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableWriter.Builder,158,0,8,0,37,0,12,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiVersion,69,16,9,1,19,4,24,1,19,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat,103,28,4,0,29,8,18,4,16,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.Components.Types,3,13,0,0,1,2,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableWriterFactory,20,3,0,0,4,1,2,1,2,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReader.Builder,26,0,0,0,9,0,6,0,6,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableSpecificMetricsProviders,0,15,0,0,0,4,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReaderLoadingBuilder,457,0,46,0,76,0,32,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableReaderFactory,25,3,0,0,5,1,4,1,4,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.Components,3,56,0,0,1,8,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CollatedViewIndexBuilder,125,0,12,0,32,0,10,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndex,765,179,80,8,151,39,94,11,46,10
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions,3,53,0,2,1,11,1,4,1,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},36,4,2,0,5,1,4,2,3,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},6,3,0,0,1,1,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},79,4,8,0,12,1,9,2,4,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},54,3,4,0,9,1,4,1,2,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},50,4,6,0,8,1,7,2,3,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},0,11,0,0,0,3,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},0,9,0,0,0,2,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor,200,354,37,27,36,76,32,22,3,19
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver,278,174,24,10,46,36,29,12,13,11
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor.AlwaysSpeculatingReadExecutor,31,0,2,0,8,0,5,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,SpeculativeRetryPolicy.Kind,0,54,0,0,0,2,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver.ResolveContext,10,38,4,2,0,7,3,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,PercentileSpeculativeRetryPolicy,71,90,7,5,12,17,6,10,2,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AlwaysSpeculativeRetryPolicy,23,5,0,0,6,1,6,1,6,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,SpeculativeRetryPolicy,44,0,10,0,11,0,6,0,1,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor.SpeculatingReadExecutor,122,0,16,0,28,0,13,0,5,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ResponseResolver,35,44,3,1,6,12,3,4,1,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor.NeverSpeculatingReadExecutor,8,15,3,1,1,5,2,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,NeverSpeculativeRetryPolicy,31,5,4,0,6,1,8,1,6,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ReadCallback,249,181,46,18,37,46,34,11,5,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DigestResolver,151,98,25,9,28,22,19,8,2,8
