GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiFormatFactory,0,10,0,0,0,3,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex.Payload,5,16,1,1,0,6,1,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,SSTableIterator,0,52,0,4,0,10,0,7,0,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexWriter.new ByteSource() {...},2,54,1,5,1,11,1,4,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex.Reader,17,178,9,27,4,40,9,18,1,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableWriter.Builder,16,142,4,4,3,34,4,8,0,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiVersion,18,67,6,4,2,21,6,19,2,18
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat,32,99,1,3,9,28,6,16,5,15
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndexBuilder,28,256,8,12,9,65,7,13,0,10
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexReverseIterator,16,51,1,3,4,12,3,3,2,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableScanner.BtiScanningIterator,14,111,2,10,2,20,2,8,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.Components.Types,3,13,0,0,1,2,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIterator,119,273,10,16,29,59,14,18,7,12
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,SSTableIterator.ForwardIndexedReader,4,73,1,5,0,18,1,6,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexReader.new TrieSerializer() {...},5,105,1,13,0,24,1,12,0,6
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,TrieIndexEntry,52,70,7,1,10,19,9,7,5,7
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndexEarly,0,24,0,0,0,5,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableScanner,7,57,0,0,1,8,1,6,1,6
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableWriter.IndexWriter,96,180,3,3,22,33,6,8,4,7
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableWriterFactory,0,23,0,0,0,5,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReader,300,572,70,52,50,108,61,34,9,25
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex.PartitionIndexSerializer,0,67,0,4,0,14,0,5,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReader.Builder,0,26,0,0,0,9,0,6,0,6
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableSpecificMetricsProviders,0,15,0,0,0,4,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex.IndexPosIterator,0,54,1,3,0,12,1,4,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexReader,42,100,6,6,8,24,6,10,2,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex,36,198,3,9,8,49,6,21,3,18
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReaderLoadingBuilder,212,245,26,20,34,42,26,6,3,6
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableReaderFactory,8,20,0,0,2,4,2,3,2,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormatPartitionWriter,7,100,2,6,2,26,2,10,0,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.Components,3,56,0,0,1,8,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableVerifier,1,8,0,0,1,2,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexReader.IndexInfo,0,9,0,0,0,4,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableWriter,66,154,1,3,11,33,4,7,3,6
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexWriter,4,130,1,9,0,30,1,12,0,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,IndexEntry,0,18,0,0,0,7,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CollatedViewIndexBuilder,6,119,1,11,1,31,1,9,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndex,95,849,21,67,9,181,22,83,3,53
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexSearcher,82,209,9,13,15,43,7,12,0,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndex.new Index.Indexer() {...},5,328,1,47,1,66,2,37,1,14
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions,3,53,0,2,1,11,1,4,1,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},12,28,2,0,2,4,2,4,1,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},0,9,0,0,0,2,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},39,44,6,2,6,7,5,6,1,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},0,57,0,4,0,10,0,5,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},39,15,6,0,6,3,5,4,1,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},0,11,0,0,0,3,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},0,9,0,0,0,2,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,NumericValuesMeta,0,25,0,0,0,9,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,BlockPackedWriter,2,105,3,11,0,19,3,6,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,AbstractBlockPackedReader,38,326,3,43,2,66,3,27,0,7
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,MonotonicBlockPackedReader.new AbstractBlockPackedReader() {...},0,39,0,0,0,5,0,4,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,MonotonicBlockPackedReader,2,133,0,4,0,27,1,5,1,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,BlockPackedReader.new AbstractBlockPackedReader() {...},0,30,0,0,0,5,0,4,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,MonotonicBlockPackedWriter,4,141,1,11,0,26,1,9,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,AbstractBlockPackedWriter,14,130,1,11,1,34,1,12,0,7
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,BlockPackedReader,15,133,1,5,1,29,2,4,1,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,NumericValuesWriter,0,89,0,4,0,21,0,6,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ReplicaFilteringProtection,131,160,12,8,22,38,9,10,1,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor,165,389,31,33,26,86,27,27,2,20
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver,80,372,5,29,7,75,9,32,5,19
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor.AlwaysSpeculatingReadExecutor,31,0,2,0,8,0,5,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,SpeculativeRetryPolicy.Kind,0,54,0,0,0,2,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,HybridSpeculativeRetryPolicy,88,124,8,10,13,26,10,8,3,6
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver.ResolveContext,2,46,1,5,0,7,1,5,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver.new UnfilteredPartitionIterators.MergeListener() {...},0,38,0,2,0,7,0,4,0,3
