GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiFormatFactory,0,10,0,0,0,3,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex.Payload,21,0,2,0,6,0,3,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,SSTableIterator,52,0,4,0,10,0,7,0,5,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexWriter.new ByteSource() {...},56,0,6,0,12,0,5,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex.Reader,195,0,36,0,44,0,27,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableWriter.Builder,158,0,8,0,37,0,12,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiVersion,69,16,9,1,19,4,24,1,19,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat,103,28,4,0,29,8,18,4,16,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndexBuilder,284,0,20,0,74,0,20,0,10,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexReverseIterator,67,0,4,0,16,0,6,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableScanner.BtiScanningIterator,125,0,12,0,22,0,10,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.Components.Types,3,13,0,0,1,2,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIterator,392,0,26,0,88,0,32,0,19,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,SSTableIterator.ForwardIndexedReader,77,0,6,0,18,0,7,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableScrubber,576,0,68,0,133,0,42,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,ScrubIterator,80,0,6,0,22,0,9,0,6,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,SSTableReversedIterator,57,0,4,0,10,0,7,0,5,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexReader.new TrieSerializer() {...},110,0,14,0,24,0,13,0,6,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,TrieIndexEntry,122,0,8,0,29,0,16,0,12,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndexEarly,24,0,0,0,5,0,2,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableScanner,64,0,0,0,9,0,7,0,7,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableWriter.IndexWriter,276,0,6,0,55,0,14,0,11,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableWriterFactory,20,3,0,0,4,1,2,1,2,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReader,872,0,122,0,158,0,95,0,34,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex.PartitionIndexSerializer,67,0,4,0,14,0,5,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReader.Builder,26,0,0,0,9,0,6,0,6,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableSpecificMetricsProviders,0,15,0,0,0,4,0,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex.IndexPosIterator,54,0,4,0,12,0,5,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexReader,142,0,12,0,32,0,16,0,10,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,PartitionIndex,234,0,12,0,57,0,27,0,21,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableReaderLoadingBuilder,457,0,46,0,76,0,32,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.BtiTableReaderFactory,25,3,0,0,5,1,4,1,4,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormatPartitionWriter,107,0,8,0,28,0,12,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,SSTableReversedIterator.ReverseReader,285,0,52,0,66,0,34,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiFormat.Components,3,56,0,0,1,8,1,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableVerifier,9,0,0,0,3,0,2,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexReader.IndexInfo,9,0,0,0,4,0,1,0,1,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableWriter,220,0,4,0,44,0,11,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexWriter,134,0,10,0,30,0,13,0,8,0
